,Provider,age_mode,age_median,deceased_sum,Gender_mode,Race_mode,State_mode,County_mode,No_days_admitted_median,No_days_admitted_mode,No_days_ClaimProcessing_median,No_days_ClaimProcessing_mode,AttendingPhysician_mode,RenalDiseaseIndicator_mode,ChronicCond_Alzheimer_median,ChronicCond_Alzheimer_mode,ChronicCond_Cancer_median,ChronicCond_Cancer_mode,ChronicCond_Depression_median,ChronicCond_Depression_mode,ChronicCond_Diabetes_median,ChronicCond_Diabetes_mode,ChronicCond_Heartfailure_median,ChronicCond_Heartfailure_mode,ChronicCond_IschemicHeart_median,ChronicCond_IschemicHeart_mode,ChronicCond_KidneyDisease_median,ChronicCond_KidneyDisease_mode,ChronicCond_ObstrPulmonary_median,ChronicCond_ObstrPulmonary_mode,ChronicCond_Osteoporasis_median,ChronicCond_Osteoporasis_mode,ChronicCond_rheumatoidarthritis_median,ChronicCond_rheumatoidarthritis_mode,ChronicCond_stroke_median,ChronicCond_stroke_mode,NoOfMonths_PartACov_median,NoOfMonths_PartACov_mode,NoOfMonths_PartBCov_median,NoOfMonths_PartBCov_mode,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_median,OPAnnualDeductibleAmt_sum,OPAnnualDeductibleAmt_median,OPAnnualReimbursementAmt_sum,OPAnnualReimbursementAmt_median,IPAnnualDeductibleAmt_sum,IPAnnualDeductibleAmt_median,IPAnnualReimbursementAmt_sum,IPAnnualReimbursementAmt_median,DeductibleAmtPaid_sum,DeductibleAmtPaid_median,OperatingPhysician_mode,OtherPhysician_mode,no_of_service_provided,PotentialFraud
13,PRV52283,50.0,75.0,64,0,1,10,150,4.0,2.0,4.0,2.0,PHY432797,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,12,12,12.0,12,594700,6000,32180,370,72700,800,139726,2136,1275490,14080,69420.0,1068.0,['PHY432797'],[],66,Yes
14,PRV56588,77.0,74.0,268,0,1,45,390,1.0,1.0,0.0,0.0,PHY401860,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1030600,300,204190,390,705340,980,250996,1068,2225680,4000,106092.0,0.0,['PHY408291'],['PHY411465'],269,Yes
15,PRV56118,68.0,78.0,13,0,1,39,620,7.5,8.0,7.5,8.0,PHY377952,0,2.0,2,2.0,2,1.5,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,116000,6500,1630,25,8070,95,26564,1602,229040,13800,13884.0,1068.0,['PHY353375'],[],14,No
16,PRV57191,66.0,74.0,1491,0,1,49,290,1.0,1.0,0.0,0.0,PHY424712,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,2424430,100,837206,320,2863120,1180,936340,0,9242490,0,198846.0,0.0,['PHY381249'],[],1500,Yes
17,PRV54675,69.0,74.0,37,1,1,29,10,4.0,4.0,4.0,4.0,PHY429118,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,12,12,12.0,12,422000,8000,13180,210,65220,960,73944,1068,583800,14000,39516.0,1068.0,['PHY432444'],['PHY423511'],37,Yes
18,PRV54676,71.0,74.0,40,1,1,29,10,4.0,1.0,4.0,1.0,PHY391553,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,375200,8500,40470,400,159220,1055,75560,1068,747760,13050,40584.0,1068.0,['PHY399534'],"['PHY341013', 'PHY391553']",40,Yes
19,PRV51393,68.0,75.0,905,0,1,5,590,1.0,1.0,0.0,0.0,PHY357709,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,906370,75,488090,300,1487570,940,358944,0,3977110,0,71430.0,0.0,['PHY430692'],['PHY357709'],910,Yes
20,PRV51342,69.0,73.0,202,0,1,5,620,1.0,1.0,0.0,0.0,PHY390285,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,356780,90,153190,400,470510,850,114140,0,1002140,0,29366.0,0.0,['PHY390285'],['PHY390285'],207,No
21,PRV55834,70.0,73.0,447,0,1,38,140,1.0,1.0,0.0,0.0,PHY347590,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,197250,90,354310,400,1117720,1320,194676,0,2555350,0,10622.0,0.0,['PHY354661'],['PHY369860'],453,No
22,PRV51578,66.0,73.0,1488,0,1,5,200,1.0,1.0,0.0,0.0,PHY329593,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1662920,90,917610,320,3023020,1090,868940,0,7862470,0,131150.0,0.0,['PHY326754'],['PHY329593'],1500,Yes
23,PRV53937,59.0,72.5,38,1,1,23,730,1.0,1.0,0.5,0.0,PHY338524,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,217970,200,31180,270,105790,1090,40584,1068,456170,4050,18196.0,0.0,['PHY321454'],['PHY367037'],38,Yes
24,PRV51710,84.0,83.0,17,0,1,5,660,3.0,1.0,3.0,0.0,PHY317202,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,12,12,12.0,12,121080,5000,5220,230,28260,980,29904,2136,232470,12100,15032.0,1068.0,['PHY332018'],"['PHY321002', 'PHY378354', 'PHY390494', 'PHY415385']",17,No
25,PRV53135,68.0,78.0,7,0,1,26,470,6.0,2.0,6.0,2.0,PHY393448,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,1.0,1,2.0,2,12,12,12.0,12,68000,9000,1430,100,7250,1030,18156,2136,201740,18560,7476.0,1068.0,['PHY393448'],['PHY404511'],7,No
26,PRV55023,78.0,75.0,64,0,1,33,360,1.5,1.0,2.0,0.0,PHY363578,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,420150,3000,38010,310,120090,1405,77692,1068,1058830,9090,34176.0,1068.0,['PHY363578'],"['PHY338268', 'PHY403914']",64,No
27,PRV56490,75.0,75.5,13,0,1,44,180,2.5,1.0,2.5,0.0,PHY340627,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,78170,4000,4680,370,24140,525,21088,1068,142740,5500,10680.0,1068.0,['PHY340627'],[],14,No
28,PRV55462,72.0,74.0,1883,0,1,36,250,1.0,1.0,0.0,0.0,PHY422134,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,4713830,100,1302990,340,4746050,1270,1539446,0,15085900,0,410290.0,0.0,['PHY429430'],['PHY414365'],1907,Yes
29,PRV51550,84.0,77.0,61,0,1,5,670,1.0,1.0,0.0,0.0,PHY379573,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,124040,200,52290,350,175450,1790,40584,0,277110,0,16120.0,0.0,['PHY379573'],['PHY383974'],61,No
30,PRV57523,74.0,74.0,147,0,1,52,650,1.0,1.0,0.0,0.0,PHY337502,0,2.0,2,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,169960,90,78780,360,313700,1200,73424,0,737460,0,13176.0,0.0,['PHY337502'],['PHY337502'],151,No
31,PRV52898,76.0,74.5,112,0,1,15,330,1.0,1.0,0.5,0.0,PHY387399,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,535930,500,79540,310,236600,1005,116140,1068,1165720,5000,51414.0,0.0,"['PHY371621', 'PHY387399']",['PHY387399'],114,No
32,PRV51842,69.0,71.0,292,0,1,6,200,1.0,1.0,0.0,0.0,PHY341192,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1220600,400,191586,300,772210,1200,344364,1068,2988900,4200,123350.0,0.0,['PHY427624'],['PHY330957'],294,Yes
33,PRV51560,68.0,75.0,235,0,1,5,470,3.0,1.0,4.0,0.0,PHY411541,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1956190,5000,165980,235,580360,955,390172,1068,3574490,11000,208260.0,1068.0,['PHY411541'],['PHY400887'],238,Yes
34,PRV51164,67.0,73.0,391,0,1,3,60,1.0,1.0,0.0,0.0,PHY432396,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,556980,90,283880,350,983600,990,250880,0,2214490,0,44548.0,0.0,['PHY358329'],"['PHY329558', 'PHY394939']",391,No
35,PRV51146,67.0,74.0,348,0,1,3,60,1.0,1.0,1.0,0.0,PHY326549,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1680910,1050,229330,295,778590,790,359870,1068,3316080,4090,171670.0,0.0,['PHY326549'],['PHY429929'],352,Yes
36,PRV54936,70.0,74.0,216,0,1,33,400,1.0,1.0,2.0,0.0,PHY400127,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1139730,3000,151040,250,598870,870,283272,1068,2415060,6000,130526.0,1068.0,"['PHY323141', 'PHY332478', 'PHY370317']",['PHY400127'],221,Yes
37,PRV57341,80.0,72.0,176,0,1,50,260,1.0,1.0,0.0,0.0,PHY374748,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,816350,1100,125820,300,437430,850,186424,1068,1703790,5000,80730.0,0.0,"['PHY339197', 'PHY392738']",['PHY410207'],177,Yes
38,PRV53769,69.0,74.0,375,0,1,22,130,1.0,1.0,0.0,0.0,PHY431809,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1685180,300,222830,340,711820,1030,343640,1068,3412980,1000,138582.0,0.0,['PHY317931'],['PHY325993'],377,Yes
39,PRV51140,71.0,72.0,487,0,1,3,60,1.0,1.0,0.0,0.0,PHY335975,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,453130,80,339670,320,1203530,1100,319700,0,2577460,0,50418.0,0.0,['PHY388334'],['PHY322019'],487,No
40,PRV55005,81.0,75.0,129,0,1,33,800,1.0,1.0,1.0,0.0,PHY409386,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,516780,400,89790,430,272510,1180,136442,1068,1060690,5000,58810.0,0.0,['PHY389475'],['PHY314586'],130,No
41,PRV53431,74.0,74.0,42,0,1,19,270,1.0,1.0,0.0,0.0,PHY373784,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,30080,60,31400,410,132290,1315,62292,0,332360,0,1148.0,0.0,['PHY402155'],['PHY402155'],42,No
42,PRV52019,67.0,74.0,1944,0,1,10,260,1.0,1.0,0.0,0.0,PHY416093,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,5996050,100,1160972,300,4111860,1080,1678786,0,15835590,0,539426.0,0.0,['PHY416093'],['PHY416093'],1961,Yes
43,PRV54955,67.0,75.0,312,0,1,33,331,2.0,1.0,3.0,0.0,PHY433827,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,2134890,4500,208656,310,727890,860,453828,1068,4439680,9010,209488.0,1068.0,['PHY433827'],['PHY404119'],314,Yes
44,PRV56268,70.0,73.0,1102,0,1,34,330,1.0,1.0,0.0,0.0,PHY359453,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,940670,80,663106,380,2458030,1230,607768,0,5705170,0,67482.0,0.0,['PHY382030'],['PHY359453'],1113,Yes
45,PRV53807,79.0,74.5,157,0,1,22,90,1.0,1.0,0.0,0.0,PHY327898,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,375030,100,88017,330,428720,1170,173684,0,1358110,0,38728.0,0.0,['PHY327898'],"['PHY403015', 'PHY433990']",158,No
46,PRV54720,36.0,76.0,9,1,1,30,50,3.0,3.0,3.0,3.0,PHY354535,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,127000,12000,2510,50,5220,210,20156,1068,185450,22000,8544.0,1068.0,['PHY320527'],['PHY369246'],9,No
47,PRV57437,53.0,69.0,26,0,1,51,190,1.0,1.0,0.0,0.0,PHY380990,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,63170,200,10910,320,39010,610,17088,0,170560,0,6608.0,0.0,"['PHY316890', 'PHY369236', 'PHY375571', 'PHY380990', 'PHY393135']",['PHY380990'],27,No
48,PRV54692,84.0,79.0,71,0,1,30,50,2.0,1.0,2.0,0.0,PHY353579,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,375880,4000,39970,325,151450,890,108324,1068,873670,7000,51264.0,1068.0,['PHY370650'],['PHY420944'],72,Yes
49,PRV55903,73.0,75.0,49,1,1,39,270,1.0,1.0,0.5,0.0,PHY392633,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,197820,1700,32020,405,107000,1380,67012,1068,534470,6420,22428.0,0.0,['PHY392633'],"['PHY330049', 'PHY330199', 'PHY338217', 'PHY346234', 'PHY358863', 'PHY364553', 'PHY367884', 'PHY381729', 'PHY384652', 'PHY386203', 'PHY392633', 'PHY394597', 'PHY401711', 'PHY417204', 'PHY425135']",50,No
50,PRV55670,73.0,81.0,8,0,1,36,60,3.0,1.0,3.0,1.0,PHY322521,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,12,12,12.0,12,98000,10000,2260,120,10670,710,22224,2136,172380,13540,9612.0,1068.0,['PHY339885'],['PHY322521'],9,Yes
51,PRV52178,67.0,73.0,136,0,1,10,120,5.0,3.0,5.0,3.0,PHY411732,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1379590,7000,75614,280,288480,885,276032,1068,2529080,12070,137772.0,1068.0,['PHY393569'],['PHY432365'],136,Yes
52,PRV52173,85.0,73.0,119,0,1,10,120,4.0,3.0,4.0,3.0,PHY418617,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1381400,8000,57360,200,159840,510,277056,1068,2335500,13000,124956.0,1068.0,['PHY408878'],[],119,Yes
53,PRV56575,70.0,73.0,829,0,1,45,910,1.0,1.0,0.0,0.0,PHY419512,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1154530,90,472060,300,1905420,1160,488880,0,4373930,0,121008.0,0.0,['PHY353156'],['PHY320990'],830,Yes
54,PRV57086,85.0,82.0,6,0,1,45,310,5.5,4.0,5.5,4.0,PHY320034,0,1.5,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.5,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,53000,9000,1550,170,8300,1345,8544,1068,73220,12000,5340.0,1068.0,['PHY320034'],[],6,No
55,PRV55666,71.0,73.0,19,1,1,36,170,4.0,3.0,4.0,3.0,PHY426727,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,125000,6000,6490,160,25220,1200,28836,1068,181740,7000,20292.0,1068.0,['PHY421705'],[],19,No
56,PRV52280,73.0,75.0,41,0,1,10,470,5.0,1.0,5.0,1.0,PHY363558,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,395000,8000,30950,300,104540,1180,68352,1068,597060,11000,42720.0,1068.0,['PHY398509'],['PHY416093'],41,Yes
57,PRV51277,68.0,70.0,59,0,1,4,710,1.0,1.0,0.0,0.0,PHY409123,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,141190,100,41780,450,142430,1020,39516,0,418830,0,10920.0,0.0,['PHY367586'],['PHY409123'],59,No
58,PRV53233,67.0,72.0,13,0,1,17,860,3.0,3.0,3.0,3.0,PHY360494,0,1.0,1,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,1.0,1,2.0,2,2.0,2,1.0,1,2.0,2,12,12,12.0,12,96000,5000,6050,310,28280,1350,25564,2068,189580,13000,11748.0,1068.0,['PHY360494'],[],13,No
59,PRV56703,70.0,74.0,47,0,1,45,810,1.0,1.0,0.5,0.0,PHY341328,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,186070,200,15820,155,77090,730,39380,1068,254390,1250,22478.0,0.0,"['PHY341328', 'PHY419888']","['PHY352967', 'PHY393657', 'PHY397108']",48,No
60,PRV51948,78.0,76.0,513,0,1,7,60,1.0,1.0,0.0,0.0,PHY361948,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1519950,200,366930,320,1443800,1060,398968,0,3772240,0,149482.0,0.0,['PHY361948'],"['PHY401867', 'PHY427618']",515,Yes
61,PRV55918,60.0,76.0,10,0,1,31,160,1.0,1.0,0.0,0.0,PHY378899,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,17760,65,3440,290,12350,1120,5340,0,39000,0,2136.0,0.0,['PHY387287'],"['PHY332055', 'PHY345102', 'PHY369192', 'PHY378899', 'PHY424402']",10,No
62,PRV52279,70.0,72.0,82,0,1,10,120,4.0,1.0,4.0,2.0,PHY327526,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,783300,6000,43780,200,146560,990,193916,1068,1443940,11720,85440.0,1068.0,['PHY378347'],['PHY378347'],83,No
63,PRV55482,66.0,75.0,83,0,1,36,310,1.0,1.0,2.0,0.0,PHY387914,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,509250,1100,36380,200,148200,730,93712,1068,1138280,6000,41772.0,20.0,"['PHY329978', 'PHY338047', 'PHY387914', 'PHY402401', 'PHY431351']",['PHY346243'],83,Yes
